BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum,smNRPS 
V1.UC26.0__NODE_2138_length_14483_cov_9.66392__14483__other__ANTISMASH__0_14483,2.539812815,-,-,-,0.703671527,NZ_JNWB01000030,Bifidobacterium longum subsp. infantis EK3,Actinobacteria,
V1.CD7.4__NODE_401_length_46986_cov_61.8892__46986__nrps__ANTISMASH__0_46986,3.573969246,-,-,-,0.23728905,NZ_OEPZ01000003,Dorea sp. Marseille-P4003,Firmicutes,
O2.UC9.2__NODE_1019_length_26569_cov_3.57132__26569__nrps__ANTISMASH__0_26569,2.21983487,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.UC50.1__NODE_4026_length_10064_cov_2.68302__10064__other__ANTISMASH__0_10064,1.964111682,-,-,-,0.43932307,NZ_BAHW02000027,Clostridiales bacterium VE202-09,Firmicutes,
O2.UC51.2__NODE_6733_length_6889_cov_1.69229__6889__bacteriocin__ANTISMASH__0_6889,1.766216581,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC34.0__NODE_3831_length_5787_cov_1.20551__5787__other__ANTISMASH__0_5787,3.826698826,-,-,-,0.523544756,NZ_JGDQ01000059,Bacteroides fragilis str. 3725 D9(v),Bacteroidetes,
O2.UC52.0__NODE_336_length_47622_cov_2.73889__28025__terpene__ANTISMASH__19597_47622,3.199327374,-,-,-,0.478407346,NZ_JNHK01000089,Parabacteroides distasonis str. 3776 D15 i,Bacteroidetes,
O2.UC51.2__NODE_6315_length_7314_cov_1.82959__7314__otherks__ANTISMASH__0_7314,2.187281381,-,-,-,0.213827244,NZ_UETD01000006,Ruminococcus flavefaciens,Firmicutes,
V1.CD18.0__NODE_417_length_48226_cov_3.4221__42642__nrps__ANTISMASH__5584_48226,2.73208209,CD,2.629206979,0.001541137,0.001541137,NZ_LN999827,Clostridium sp. AT4,Firmicutes,
O2.UC13.2__NODE_1193_length_24439_cov_4.84408__7401__bacteriocin__ANTISMASH__17038_24439,2.808224164,-,-,-,0.109846143,N/A,N/A,Unassigned,
V1.CD27.0__NODE_1210_length_18246_cov_9.59821__18246__lantipeptide__ANTISMASH__0_18246,3.624015884,-,-,-,0.225814719,N/A,N/A,Unassigned,
V1.UC11.0__NODE_252_length_46982_cov_4.5877__46982__nrps__ANTISMASH__0_46982,2.968005174,-,-,-,0.034506495,NZ_MEHE01000041,Eisenbergiella tayi,Firmicutes,
V1.CD27.0__NODE_946_length_21705_cov_16.2906__21705__lantipeptide__ANTISMASH__0_21705,2.863974782,-,-,-,0.136937121,NZ_CYXM01000029,Eubacterium rectale,Firmicutes,
V1.UC42.0__NODE_17_length_210145_cov_7.11448__41194__arylpolyene__ANTISMASH__5928_47122,2.990745638,-,-,-,0.060265973,NZ_JH376616,Paraprevotella clara YIT 11840,Bacteroidetes,
O2.UC19.2__NODE_3535_length_6441_cov_1.23661__6441__nrps__ANTISMASH__0_6441,3.491754546,-,-,-,0.885268985,NZ_ADMO01000148,Bacteroides ovatus SD CMC 3f,Bacteroidetes,
V1.UC42.0__NODE_2624_length_12593_cov_1.20466__12593__nrps__ANTISMASH__0_12593,1.469789638,-,-,-,0.586543543,NZ_NFIR01000005,Eubacterium sp. An3,Firmicutes,
O2.UC5.0__NODE_598_length_27627_cov_5.73673__27627__nrps__ANTISMASH__0_27627,3.093637982,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC11.5__NODE_1219_length_30855_cov_3.11214__24415__nrps__ANTISMASH__0_24415,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC30.2__NODE_541_length_35315_cov_2.82853__35315__nrps__ANTISMASH__0_35315,1.982327754,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC51.0__NODE_202_length_68934_cov_29.5501__26031__resorcinol__ANTISMASH__0_26031,4.695372127,-,-,-,0.02813117,NZ_DS995531,Bacteroides dorei DSM 17855,Bacteroidetes,
O2.UC24.2__NODE_3135_length_8512_cov_1.5865__8512__arylpolyene__ANTISMASH__0_8512,2.40580642,-,-,-,0.268836049,NZ_LT556049,Prevotella lascolaii,Bacteroidetes,
O2.UC35.2__NODE_18_length_175818_cov_4.03873__43464__arylpolyene__ANTISMASH__5654_49118,2.484074534,-,-,-,0.184417724,N/A,N/A,Unassigned,
V1.UC62.0__NODE_31_length_180575_cov_19.4374__62233__nrps-ladderane__ANTISMASH__16961_79194,3.851022954,C,3.521427736,8.22E-06,8.22E-06,NZ_NNBY01000035,Ruminococcus bromii,Firmicutes,
V1.CD30.0__NODE_2651_length_10126_cov_1.26442__8030__bacteriocin__ANTISMASH__2096_10126,3.762845485,C,3.459308152,1.11E-05,1.11E-05,NZ_NNBY01000045,Ruminococcus bromii,Firmicutes,
V1.CD7.4__NODE_1138_length_22326_cov_22.5187__22326__lantipeptide__ANTISMASH__0_22326,2.831745991,-,-,-,0.170993001,N/A,N/A,Unassigned,
V1.UC25.0__NODE_269_length_48007_cov_4.57804__6063__bacteriocin__ANTISMASH__0_6063,2.884509796,-,-,-,0.097452998,NZ_ACLO01000062,Streptococcus salivarius SK126,Firmicutes,
V1.CD17.4__NODE_2658_length_14931_cov_3.23293__14931__nrps__ANTISMASH__0_14931,2.574125961,CD,2.712334649,0.000185138,0.000185138,N/A,N/A,Unassigned,
O2.UC40.2__NODE_5802_length_6063_cov_1.24484__6063__nrps__ANTISMASH__0_6063,2.079982077,-,-,-,0.213827244,NC_021039,Ruminococcus champanellensis (strain DSM 18848 / JCM 17042 / KCTC 15320 / 18P13),Firmicutes,
O2.UC47.2__NODE_1624_length_14315_cov_1.78065__14315__nrps__ANTISMASH__0_14315,2.065189139,-,-,-,0.443093981,NZ_MPDJ01000005,Eisenbergiella tayi,Firmicutes,
O2.UC54.0__NODE_404_length_39167_cov_2.81584__13321__lantipeptide__ANTISMASH__25846_39167,3.084629019,-,-,-,0.146200885,N/A,N/A,Unassigned,
O2.UC12.2__NODE_289_length_46681_cov_4.15693__13502__terpene__ANTISMASH__33179_46681,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC26.4__NODE_500_length_57939_cov_3.42504__23420__nrps__ANTISMASH__0_23420,2.977542633,C,2.710959383,0.000109069,0.000109069,NZ_CYZD01000004,Blautia obeum,Firmicutes,
O2.UC55.0__NODE_575_length_36912_cov_2.29213__34584__arylpolyene__ANTISMASH__2328_36912,2.079388611,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.CD34.0__NODE_655_length_36329_cov_8.85122__36329__nrps__ANTISMASH__0_36329,2.630997228,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC27.2__NODE_1645_length_12072_cov_2.07098__12072__lantipeptide__ANTISMASH__0_12072,2.119160967,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC3.0__NODE_1261_length_14573_cov_2.43264__14573__bacteriocin__ANTISMASH__0_14573,1.945451408,-,-,-,0.703671527,NZ_QEPW01000003,Haemophilus parainfluenzae,Proteobacteria,
V1.CD22.0__NODE_416_length_58194_cov_5.37747__17320__terpene__ANTISMASH__0_17320,2.642665565,-,-,-,0.036038833,N/A,N/A,Unassigned,
O2.UC11.2__NODE_3849_length_7669_cov_1.34121__6355__bacteriocin__ANTISMASH__1314_7669,2.742549079,-,-,-,0.038616281,N/A,N/A,Unassigned,
V1.UC49.1__NODE_148_length_113554_cov_4.51711__55634__nrps__ANTISMASH__54341_109975,2.250895303,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.CD20.4__NODE_696_length_42747_cov_3.67617__28620__other__ANTISMASH__14127_42747,2.019629884,-,-,-,0.065953933,N/A,N/A,Unassigned,
V1.UC38.0__NODE_271_length_66068_cov_4.01881__43173__nrps__ANTISMASH__18779_61952,1.100581321,-,-,-,0.43932307,NZ_KI391947,Ruminococcaceae bacterium D16,Firmicutes,
V1.UC25.1__NODE_2456_length_13453_cov_2.73369__13453__arylpolyene__ANTISMASH__0_13453,2.73318755,-,-,-,0.726125807,NZ_NFHB01000006,Alistipes onderdonkii,Bacteroidetes,
O2.UC2.0__NODE_1230_length_14811_cov_1.83159__14811__nrps__ANTISMASH__0_14811,2.780448241,C,2.621693852,0.008704721,0.008704721,N/A,N/A,Unassigned,
V1.UC35.4__NODE_115_length_116104_cov_19.8222__48011__arylpolyene__ANTISMASH__56578_104589,2.976668903,-,-,-,0.358665162,NZ_CCIZ01000009,Alistipes sp. AL-1,Bacteroidetes,
O2.UC49.2__NODE_1730_length_13268_cov_1.6732__13268__lantipeptide__ANTISMASH__0_13268,2.12191791,-,-,-,0.464848847,NZ_MPDJ01000005,Eisenbergiella tayi,Firmicutes,
V1.UC10.2__NODE_2788_length_12169_cov_2.50454__12169__terpene__ANTISMASH__0_12169,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD30.0__NODE_1626_length_13807_cov_2.46546__13730__hserlactone__ANTISMASH__77_13807,1.842835525,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC2.0__NODE_310_length_51072_cov_4.24219__40728__nrps__ANTISMASH__10344_51072,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD24.0__NODE_1469_length_17214_cov_1.46273__16572__lantipeptide__ANTISMASH__642_17214,2.290785858,-,-,-,0.070640189,N/A,N/A,Unassigned,
O2.UC47.2__NODE_2227_length_10741_cov_2.86403__10741__nrps__ANTISMASH__0_10741,1.597211321,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC49.1__NODE_2259_length_17909_cov_3.52056__17909__microcin__ANTISMASH__0_17909,0,-,-,-,-,NZ_CP009761,Parvimonas micra,Firmicutes,
O2.UC11.2__NODE_15_length_133798_cov_5.45629__23903__lassopeptide__ANTISMASH__59958_83861,1.627049871,-,-,-,0.268836049,N/A,N/A,Unassigned,
V1.UC13.0__NODE_517_length_7555_cov_0.716933__7555__bacteriocin__ANTISMASH__0_7555,3.316750215,-,-,-,0.15954249,NZ_CVRQ01000029,Eubacterium rectale,Firmicutes,
O2.UC24.2__NODE_53_length_123216_cov_3.24553__43609__arylpolyene__ANTISMASH__42484_86093,1.876684144,-,-,-,0.347704122,N/A,N/A,Unassigned,
V1.UC53.0__NODE_4191_length_9420_cov_4.43374__9420__nrps__ANTISMASH__0_9420,1.517542689,-,-,-,0.6831639,N/A,N/A,Unassigned,
O2.UC52.2__NODE_4243_length_8692_cov_4.48304__8692__nrps__ANTISMASH__0_8692,3.836535351,-,-,-,0.113887155,NZ_CYZA01000004,Blautia obeum,Firmicutes,
O2.UC53.2__NODE_728_length_32085_cov_3.70128__32085__nrps__ANTISMASH__0_32085,1.827911278,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC30.2__NODE_1602_length_17037_cov_2.2909__17037__resorcinol__ANTISMASH__0_17037,2.973856068,-,-,-,0.058722628,N/A,N/A,Unassigned,
O2.UC46.2__NODE_1164_length_23341_cov_2.4147__21624__lantipeptide__ANTISMASH__1717_23341,1.461820683,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC53.4__NODE_903_length_22152_cov_3.94669__22152__arylpolyene__ANTISMASH__0_22152,2.517357779,-,-,-,0.475358296,NZ_KQ968580,Sutterella sp. KLE1602,Proteobacteria,
O2.UC20.2__NODE_1136_length_21461_cov_4.90409__13121__hserlactone__ANTISMASH__8340_21461,1.83889608,-,-,-,0.206333834,N/A,N/A,Unassigned,
O2.UC2.2__NODE_3595_length_10045_cov_1.84254__10045__arylpolyene__ANTISMASH__0_10045,2.748694643,-,-,-,0.139116545,NZ_JH414769,Tannerella sp. 6_1_58FAA_CT1,Bacteroidetes,
V1.CD34.0__NODE_2130_length_16151_cov_3.9439__16151__nrps__ANTISMASH__0_16151,2.432140386,-,-,-,0.070640189,N/A,N/A,Unassigned,
V1.UC33.0__NODE_343_length_50049_cov_8.69982__14580__bacteriocin__ANTISMASH__35469_50049,3.009402758,-,-,-,0.826128614,NZ_FDNK01000003,Streptococcus pneumoniae,Firmicutes,
O2.UC32.2__NODE_4797_length_6796_cov_4.82629__6796__nrps__ANTISMASH__0_6796,4.149885705,-,-,-,0.061049728,NZ_LT546010,Blautia sp. Marseille-P2398,Firmicutes,
V1.UC26.0__NODE_1001_length_24196_cov_1.68763__24196__bacteriocin__ANTISMASH__0_24196,3.698369932,-,-,-,0.23501159,NZ_CYZM01000002,Anaerostipes hadrus,Firmicutes,
O2.UC44.2__NODE_2186_length_12877_cov_12.4771__10481__microcin__ANTISMASH__2396_12877,4.320771377,C,3.93722152,0.000135593,0.000135593,NZ_PSQF01000031,Subdoligranulum sp. APC924/74,Firmicutes,
O2.UC35.2__NODE_4376_length_8022_cov_1.41923__8022__nrps__ANTISMASH__0_8022,2.096997914,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.UC40.0__NODE_487_length_42915_cov_7.06325__42915__nrps__ANTISMASH__0_42915,3.329103473,CD,2.993584229,1.58E-05,1.58E-05,NZ_JAGQ01000004,Ruminococcus gnavus AGR2154,Firmicutes,
O2.UC1.2__NODE_3965_length_8874_cov_1.37759__8874__bacteriocin__ANTISMASH__0_8874,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD16.0__NODE_353_length_39802_cov_5.54754__36927__other__ANTISMASH__2875_39802,2.043497102,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC1.2__NODE_4786_length_7633_cov_18.9781__7633__resorcinol__ANTISMASH__0_7633,0,-,-,-,-,NZ_KI535309,Porphyromonas uenonis DSM 23387 = JCM 13868,Bacteroidetes,
V1.CD22.0__NODE_1145_length_29513_cov_6.66576__14134__terpene__ANTISMASH__15379_29513,2.646753942,-,-,-,0.036038833,N/A,N/A,Unassigned,
V1.UC32.0__NODE_4926_length_10643_cov_4.51776__10643__arylpolyene__ANTISMASH__0_10643,1.798510978,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC52.0__NODE_4707_length_8186_cov_5.00332__8186__terpene__ANTISMASH__0_8186,3.204194751,C,2.895925545,9.75E-05,9.75E-05,N/A,N/A,Unassigned,
O2.UC12.2__NODE_521_length_32839_cov_2.61158__32839__nrps__ANTISMASH__0_32839,1.570884232,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC47.0__NODE_143_length_66240_cov_8.95584__37034__nrps__ANTISMASH__0_37034,2.188899242,-,-,-,0.268836049,N/A,N/A,Unassigned,
V1.CD24.0__NODE_18_length_225290_cov_9.93792__41719__other__ANTISMASH__21509_63228,2.369054605,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC51.2__NODE_2142_length_18193_cov_2.81393__18193__other__ANTISMASH__0_18193,2.661593654,-,-,-,0.036038833,N/A,N/A,Unassigned,
O2.UC23.2__NODE_123_length_53602_cov_5.17215__42532__other__ANTISMASH__8083_50615,3.555168147,C,3.206397121,0.000172226,0.000172226,NZ_HF545617,Ruminococcus bicirculans,Firmicutes,
V1.UC21.4__NODE_2620_length_13973_cov_2.66166__13973__siderophore__ANTISMASH__0_13973,0,-,-,-,-,NZ_NCRW01000001,Enterobacter cloacae,Proteobacteria,
O2.UC60.2__NODE_7_length_224745_cov_37.738__21059__terpene__ANTISMASH__11869_32928,3.180384534,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC50.1__NODE_1347_length_24394_cov_3.74539__24394__other__ANTISMASH__0_24394,3.344247035,-,-,-,0.060398359,N/A,N/A,Unassigned,
V1.UC33.0__NODE_223_length_59851_cov_6.38772__11026__bacteriocin__ANTISMASH__20366_31392,2.020686881,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC52.2__NODE_4094_length_8908_cov_1.84593__8908__arylpolyene__ANTISMASH__0_8908,2.080081219,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC18.2__NODE_2955_length_10877_cov_4.25097__10877__resorcinol__ANTISMASH__0_10877,3.312377553,-,-,-,0.06068124,NZ_LFQU01000005,Prevotella sp. 109,Bacteroidetes,
V1.UC2.4__NODE_4132_length_6007_cov_1.53545__5307__bacteriocin__ANTISMASH__700_6007,0,-,-,-,-,NZ_PKKC01000003,Lactobacillus gasseri,Firmicutes,
O2.UC48.2__NODE_1990_length_14237_cov_2.29502__14237__microcin__ANTISMASH__0_14237,3.675566464,C,3.308085349,0.008784138,0.008784138,N/A,N/A,Unassigned,
V1.CD41.0__NODE_3206_length_12450_cov_111.015__11725__bacteriocin__ANTISMASH__725_12450,3.237816403,-,-,-,0.08709874,NZ_KE993355,Blautia sp. KLE 1732,Firmicutes,
V1.UC48.0__NODE_245_length_61474_cov_9.85462__10948__bacteriocin__ANTISMASH__17901_28849,2.047801956,-,-,-,0.366936672,N/A,N/A,Unassigned,
V1.UC11.0__NODE_60_length_96310_cov_12.3574__22766__lantipeptide__ANTISMASH__55831_78597,3.20970139,-,-,-,0.021635545,N/A,N/A,Unassigned,
O2.UC35.2__NODE_407_length_46571_cov_6.56376__29158__lassopeptide__ANTISMASH__17413_46571,3.019074746,-,-,-,0.138304841,N/A,N/A,Unassigned,
O2.UC51.0__NODE_961_length_27364_cov_3.63704__19525__bacteriocin__ANTISMASH__7839_27364,2.638605882,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.UC37.0__NODE_1292_length_18011_cov_2.58822__18011__nrps__ANTISMASH__0_18011,2.083136523,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC47.0__NODE_2217_length_12004_cov_2.90752__12004__nrps__ANTISMASH__0_12004,1.229917956,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC53.0__NODE_3203_length_11936_cov_6.42143__11936__lantipeptide__ANTISMASH__0_11936,2.757089689,-,-,-,0.441727759,N/A,N/A,Unassigned,
V1.UC4.5__NODE_5249_length_10230_cov_5.66644__10230__arylpolyene__ANTISMASH__0_10230,1.225903076,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.CD35.1__NODE_26_length_121253_cov_16.4398__25354__nrps__ANTISMASH__0_25354,3.32375482,CD,3.009402587,1.84E-14,1.84E-14,NZ_KQ235846,Clostridium bolteae WAL-14578,Firmicutes,
V1.UC15.3__NODE_2268_length_14353_cov_2.13393__14353__other__ANTISMASH__0_14353,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD7.4__NODE_2565_length_9878_cov_2.43663__9878__bacteriocin__ANTISMASH__0_9878,2.326548205,-,-,-,0.013747129,NZ_PPUS01000004,Eggerthella lenta,Actinobacteria,
O2.UC31.2__NODE_245_length_50235_cov_2.27613__36351__nrps__ANTISMASH__0_36351,2.609695348,-,-,-,0.17089665,NZ_OLMR01000003,Anaeromassilibacillus sp. Marseille-P3876,Firmicutes,
O2.UC27.2__NODE_149_length_83581_cov_4.7842__11078__microcin__ANTISMASH__72503_83581,3.949438907,-,-,-,0.254759885,NZ_GG698602,Dialister invisus DSM 15470,Firmicutes,
O2.UC34.2__NODE_368_length_38945_cov_3.43286__38945__bacteriocin__ANTISMASH__0_38945,2.940620738,-,-,-,0.796533357,NZ_CP020438,Streptococcus equinus (Streptococcus bovis),Firmicutes,
V1.CD42.0__NODE_5163_length_6740_cov_3.67345__6740__nrps__ANTISMASH__0_6740,2.739484907,-,-,-,0.130703445,N/A,N/A,Unassigned,
O2.UC32.0__NODE_2957_length_9818_cov_2.26078__9818__arylpolyene__ANTISMASH__0_9818,2.964490194,-,-,-,0.045195092,N/A,N/A,Unassigned,
O2.UC2.0__NODE_2008_length_10579_cov_1.95144__10579__other__ANTISMASH__0_10579,2.980182934,C,2.742164918,0.002397524,0.002397524,N/A,N/A,Unassigned,
O2.UC58.2__NODE_5758_length_6039_cov_1.50318__6039__arylpolyene__ANTISMASH__0_6039,2.411706742,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.CD24.0__NODE_1879_length_14656_cov_1.90775__14656__lantipeptide__ANTISMASH__0_14656,2.687424541,-,-,-,0.12342026,NZ_CYYH01000006,Anaerostipes hadrus,Firmicutes,
O2.UC22.2__NODE_688_length_29298_cov_5.78409__9786__bacteriocin__ANTISMASH__19512_29298,3.76493692,-,-,-,0.038346134,N/A,N/A,Unassigned,
O2.UC52.0__NODE_771_length_23640_cov_3.06975__22672__other__ANTISMASH__968_23640,2.382392279,-,-,-,0.109846143,N/A,N/A,Unassigned,
V1.UC62.0__NODE_2107_length_19098_cov_11.6675__19098__resorcinol__ANTISMASH__0_19098,2.297472317,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC55.4__NODE_541_length_62066_cov_3.10285__54884__nrps-t1pks__ANTISMASH__0_54884,2.196936469,-,-,-,0.289670525,N/A,N/A,Unassigned,
V1.UC50.1__NODE_6211_length_6677_cov_2.63938__6677__nrps__ANTISMASH__0_6677,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC34.2__NODE_4028_length_5464_cov_9.41764__5464__bacteriocin__ANTISMASH__0_5464,2.491063293,-,-,-,0.586543543,NZ_CP017706,Lactobacillus amylovorus DSM 20531,Firmicutes,
O2.UC2.0__NODE_4145_length_5959_cov_1.37246__5959__other__ANTISMASH__0_5959,1.991235294,-,-,-,0.070640189,N/A,N/A,Unassigned,
O2.UC4.2__NODE_4234_length_9225_cov_3.0723__9225__bacteriocin__ANTISMASH__0_9225,3.301042436,C,2.795378302,0.005964394,0.005964394,N/A,N/A,Unassigned,
O2.UC44.0__NODE_659_length_29813_cov_4.62662__24979__bacteriocin__ANTISMASH__4834_29813,3.604044793,C,3.285632649,0.00017228,0.00017228,N/A,N/A,Unassigned,
V1.UC13.0__NODE_18_length_42972_cov_2.75185__37449__resorcinol__ANTISMASH__0_37449,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC22.2__NODE_3328_length_9607_cov_1.96367__9607__lantipeptide__ANTISMASH__0_9607,2.379313951,-,-,-,0.136937121,NZ_LT907978,Eubacterium hallii,Firmicutes,
O2.UC23.2__NODE_2626_length_10860_cov_1.56964__10860__other__ANTISMASH__0_10860,1.404961739,-,-,-,0.072037466,NZ_CP022547,Streptococcus thermophilus,Firmicutes,
O2.UC38.2__NODE_7_length_175184_cov_538.21__41173__arylpolyene__ANTISMASH__51347_92520,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC4.2__NODE_6683_length_6170_cov_1.37449__6170__other__ANTISMASH__0_6170,2.929834089,C,2.712474743,0.006783708,0.006783708,N/A,N/A,Unassigned,
V1.CD16.0__NODE_247_length_48087_cov_2.24486__30879__other__ANTISMASH__0_30879,1.707525746,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC35.2__NODE_342_length_51352_cov_3.60247__33579__lantipeptide__ANTISMASH__17773_51352,3.480510232,-,-,-,0.405600894,NZ_CYZP01000002,Blautia obeum,Firmicutes,
O2.UC59.0__NODE_1904_length_14638_cov_2.08078__14638__nrps__ANTISMASH__0_14638,3.089227041,-,-,-,0.537118307,N/A,N/A,Unassigned,
O2.UC51.0__NODE_1454_length_20313_cov_1.66507__20313__nrps__ANTISMASH__0_20313,2.042948352,-,-,-,0.213827244,NZ_DS995606,Tyzzerella nexilis DSM 1787,Firmicutes,
V1.UC53.4__NODE_1077_length_19809_cov_14.4938__19809__microcin__ANTISMASH__0_19809,4.178533827,C,3.829168862,6.09E-07,6.09E-07,NZ_CP030777,Faecalibacterium prausnitzii,Firmicutes,
V1.CD16.0__NODE_1177_length_19678_cov_2.81348__19678__other__ANTISMASH__0_19678,1.758641347,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC17.2__NODE_459_length_40177_cov_4.86531__30032__nrps__ANTISMASH__0_30032,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD18.3__NODE_543_length_33639_cov_4.77606__26810__other__ANTISMASH__0_26810,2.767011711,CD,2.607542818,2.64E-05,2.64E-05,NZ_KI391961,Fusobacterium nucleatum subsp. animalis 3_1_33,Fusobacteria,
V1.CD7.4__NODE_2427_length_10544_cov_3.75517__10544__bacteriocin__ANTISMASH__0_10544,2.499136182,CD,2.581105391,0.009393396,0.009393396,NZ_CP013939,Streptococcus thermophilus,Firmicutes,
V1.UC10.2__NODE_5354_length_7045_cov_1.82761__7045__arylpolyene__ANTISMASH__0_7045,3.085516848,-,-,-,0.065288763,NZ_PJLI01000001,Akkermansia muciniphila,Verrucomicrobia,
V1.CD22.0__NODE_129_length_107589_cov_13.1436__30047__nrps__ANTISMASH__77542_107589,2.354802988,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC36.2__NODE_57_length_108795_cov_6.20109__46107__nrps__ANTISMASH__41800_87907,3.050251292,-,-,-,0.028665012,N/A,N/A,Unassigned,
O2.UC12.2__NODE_969_length_22816_cov_3.11449__22816__lantipeptide__ANTISMASH__0_22816,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC26.0__NODE_912_length_25616_cov_8.1023__25616__siderophore__ANTISMASH__0_25616,2.38682684,-,-,-,0.206621954,NZ_BGYR01000050,Escherichia coli,Proteobacteria,
V1.UC1.0__NODE_3056_length_9934_cov_5.50764__9934__arylpolyene__ANTISMASH__0_9934,3.001041021,-,-,-,0.17089665,N/A,N/A,Unassigned,
V1.CD35.1__NODE_3453_length_6346_cov_2.92879__6346__lantipeptide__ANTISMASH__0_6346,2.782044126,CD,2.532241371,0.000185138,0.000185138,NZ_CP030280,Blautia sp. N6H1-15,Firmicutes,
O2.UC58.2__NODE_59_length_85544_cov_24.6145__50361__nrps__ANTISMASH__32963_83324,3.338746266,-,-,-,0.550546628,NZ_CZBR01000003,Ruminococcus torques,Firmicutes,
V1.UC56.0__NODE_114_length_75044_cov_5.5023__49091__nrps__ANTISMASH__25953_75044,3.62628873,-,-,-,0.525619871,N/A,N/A,Unassigned,
V1.UC1.0__NODE_5044_length_6340_cov_2.01559__6340__bacteriocin__ANTISMASH__0_6340,3.196636384,C,2.906084101,9.94E-05,9.94E-05,N/A,N/A,Unassigned,
O2.UC51.2__NODE_283_length_69664_cov_4.17413__20355__lantipeptide__ANTISMASH__0_20355,2.549367745,-,-,-,0.213827244,NZ_JH594596,Odoribacter laneus YIT 12061,Bacteroidetes,
V1.UC11.5__NODE_4292_length_9518_cov_2.14879__9518__nrps__ANTISMASH__0_9518,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC52.1__NODE_4925_length_9379_cov_3.29794__9379__bacteriocin__ANTISMASH__0_9379,2.689232122,C,2.549494037,0.003130517,0.003130517,N/A,N/A,Unassigned,
O2.UC26.2__NODE_1518_length_12387_cov_6.75251__12387__other__ANTISMASH__0_12387,1.139882432,-,-,-,0.065953933,NZ_KE161007,Fusobacterium ulcerans 12-1B,Fusobacteria,
V1.CD24.0__NODE_1212_length_19690_cov_1.43428__19690__arylpolyene__ANTISMASH__0_19690,3.259409706,-,-,-,0.026819383,NZ_JAGH01000002,Bacteroides sp. 14(A),Bacteroidetes,
O2.UC35.2__NODE_1766_length_17091_cov_1.54344__17091__lantipeptide__ANTISMASH__0_17091,1.816315898,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC21.4__NODE_1205_length_26174_cov_4.12589__26174__nrps__ANTISMASH__0_26174,2.973050171,-,-,-,0.915144163,N/A,N/A,Unassigned,
O2.UC40.2__NODE_238_length_57921_cov_2.74441__23548__nrps__ANTISMASH__34373_57921,3.344599615,C,3.031461651,0.001827443,0.001827443,NZ_CYYZ01000001,Coprococcus eutactus,Firmicutes,
O2.UC52.0__NODE_1317_length_15479_cov_1.91747__15479__terpene__ANTISMASH__0_15479,2.683055909,-,-,-,0.036038833,N/A,N/A,Unassigned,
V1.UC10.2__NODE_439_length_43354_cov_4.12746__30890__nrps__ANTISMASH__12464_43354,3.006212601,-,-,-,0.136937121,N/A,N/A,Unassigned,
O2.UC51.2__NODE_2120_length_18291_cov_6.55467__18291__bacteriocin__ANTISMASH__0_18291,3.003282923,-,-,-,0.088119766,N/A,N/A,Unassigned,
